DateKey,Date,Year,Month,Day,MonthName,Quarter
20240101,1/1/2024,2024,1,1,January,1
20240102,1/2/2024,2024,1,2,January,1
20240103,1/3/2024,2024,1,3,January,1
20240104,1/4/2024,2024,1,4,January,1
20240105,1/5/2024,2024,1,5,January,1
20240106,1/6/2024,2024,1,6,January,1
20240107,1/7/2024,2024,1,7,January,1
20240108,1/8/2024,2024,1,8,January,1
20240109,1/9/2024,2024,1,9,January,1
20240110,1/10/2024,2024,1,10,January,1
20240111,1/11/2024,2024,1,11,January,1
20240112,1/12/2024,2024,1,12,January,1
20240113,1/13/2024,2024,1,13,January,1
20240114,1/14/2024,2024,1,14,January,1
20240115,1/15/2024,2024,1,15,January,1
20240116,1/16/2024,2024,1,16,January,1
20240117,1/17/2024,2024,1,17,January,1
20240118,1/18/2024,2024,1,18,January,1
20240119,1/19/2024,2024,1,19,January,1
20240120,1/20/2024,2024,1,20,January,1
20240121,1/21/2024,2024,1,21,January,1
20240122,1/22/2024,2024,1,22,January,1
20240123,1/23/2024,2024,1,23,January,1
20240124,1/24/2024,2024,1,24,January,1
20240125,1/25/2024,2024,1,25,January,1
20240126,1/26/2024,2024,1,26,January,1
20240127,1/27/2024,2024,1,27,January,1
20240128,1/28/2024,2024,1,28,January,1
20240129,1/29/2024,2024,1,29,January,1
20240130,1/30/2024,2024,1,30,January,1
20240131,1/31/2024,2024,1,31,January,1
20240201,2/1/2024,2024,2,1,February,1
20240202,2/2/2024,2024,2,2,February,1
20240203,2/3/2024,2024,2,3,February,1
20240204,2/4/2024,2024,2,4,February,1
20240205,2/5/2024,2024,2,5,February,1
20240206,2/6/2024,2024,2,6,February,1
20240207,2/7/2024,2024,2,7,February,1
20240208,2/8/2024,2024,2,8,February,1
20240209,2/9/2024,2024,2,9,February,1
20240210,2/10/2024,2024,2,10,February,1
20240211,2/11/2024,2024,2,11,February,1
20240212,2/12/2024,2024,2,12,February,1
20240213,2/13/2024,2024,2,13,February,1
20240214,2/14/2024,2024,2,14,February,1
20240215,2/15/2024,2024,2,15,February,1
20240216,2/16/2024,2024,2,16,February,1
20240217,2/17/2024,2024,2,17,February,1
20240218,2/18/2024,2024,2,18,February,1
20240219,2/19/2024,2024,2,19,February,1
20240220,2/20/2024,2024,2,20,February,1
20240221,2/21/2024,2024,2,21,February,1
20240222,2/22/2024,2024,2,22,February,1
20240223,2/23/2024,2024,2,23,February,1
20240224,2/24/2024,2024,2,24,February,1
20240225,2/25/2024,2024,2,25,February,1
20240226,2/26/2024,2024,2,26,February,1
20240227,2/27/2024,2024,2,27,February,1
20240228,2/28/2024,2024,2,28,February,1
20240229,2/29/2024,2024,2,29,February,1
20240301,3/1/2024,2024,3,1,March,1
20240302,3/2/2024,2024,3,2,March,1
20240303,3/3/2024,2024,3,3,March,1
20240304,3/4/2024,2024,3,4,March,1
20240305,3/5/2024,2024,3,5,March,1
20240306,3/6/2024,2024,3,6,March,1
20240307,3/7/2024,2024,3,7,March,1
20240308,3/8/2024,2024,3,8,March,1
20240309,3/9/2024,2024,3,9,March,1
20240310,3/10/2024,2024,3,10,March,1
20240311,3/11/2024,2024,3,11,March,1
20240312,3/12/2024,2024,3,12,March,1
20240313,3/13/2024,2024,3,13,March,1
20240314,3/14/2024,2024,3,14,March,1
20240315,3/15/2024,2024,3,15,March,1
20240316,3/16/2024,2024,3,16,March,1
20240317,3/17/2024,2024,3,17,March,1
20240318,3/18/2024,2024,3,18,March,1
20240319,3/19/2024,2024,3,19,March,1
20240320,3/20/2024,2024,3,20,March,1
20240321,3/21/2024,2024,3,21,March,1
20240322,3/22/2024,2024,3,22,March,1
20240323,3/23/2024,2024,3,23,March,1
20240324,3/24/2024,2024,3,24,March,1
20240325,3/25/2024,2024,3,25,March,1
20240326,3/26/2024,2024,3,26,March,1
20240327,3/27/2024,2024,3,27,March,1
20240328,3/28/2024,2024,3,28,March,1
20240329,3/29/2024,2024,3,29,March,1
20240330,3/30/2024,2024,3,30,March,1
20240331,3/31/2024,2024,3,31,March,1
